trigram,frequency,trigrams
"('great', 'rooftop', 'pool')",2,great rooftop pool
"('deluxe', 'harbour', 'view')",2,deluxe harbour view
"('star', 'restaurant', 'top')",2,star restaurant top
"('view', 'port', 'naples')",2,view port naples
"('bar', 'pool', 'great')",2,bar pool great
"('friendly', 'helpful', 'food')",2,friendly helpful food
"('hotel', 'romeo', 'hotel')",2,hotel romeo hotel
"('walking', 'distance', 'city')",2,walking distance city
"('two', 'small', 'drawers')",2,two small drawers
"('lovely', 'stay', 'hotel')",2,lovely stay hotel
"('cleaned', 'high', 'standard')",2,cleaned high standard
"('rooftop', 'pool', 'perfect')",2,rooftop pool perfect
"('view', 'bay', 'location')",2,view bay location
"('stayed', 'nights', 'romeo')",2,stayed nights romeo
"('overlooking', 'bay', 'naples')",2,overlooking bay naples
"('great', 'stay', 'would')",2,great stay would
"('hotel', 'stay', 'naples')",2,hotel stay naples
"('beautiful', 'hotel', 'great')",2,beautiful hotel great
"('staying', 'romeo', 'hotel')",2,staying romeo hotel
"('vesuvius', 'bay', 'naples')",2,vesuvius bay naples
"('views', 'vesuvius', 'bay')",2,views vesuvius bay
"('helpful', 'room', 'clean')",2,helpful room clean
"('star', 'restaurant', 'comandante')",2,star restaurant comandante
"('breakfast', 'buffet', 'great')",2,breakfast buffet great
"('served', '9th', 'floor')",2,served 9th floor
"('taking', 'ferry', 'ischia')",2,taking ferry ischia
"('front', 'office', 'staff')",2,front office staff
"('would', 'absolutely', 'stay')",2,would absolutely stay
"('great', 'starting', 'point')",2,great starting point
"('star', 'restaurant', '10th')",2,star restaurant 10th
"('overall', 'great', 'experience')",2,overall great experience
"('attractive', 'region', 'capri')",2,attractive region capri
"('every', 'staff', 'person')",2,every staff person
"('hotel', 'staff', 'amazing')",2,hotel staff amazing
"('lights', 'whole', 'room')",2,lights whole room
"('great', 'view', 'bay')",2,great view bay
"('old', 'city', 'many')",2,old city many
"('cruise', 'ships', 'dock')",2,cruise ships dock
"('hotel', 'stay', 'hotel')",2,hotel stay hotel
"('ask', 'high', 'floor')",2,ask high floor
"('comfortable', 'well', 'equipped')",2,comfortable well equipped
"('amazing', 'spa', 'gym')",2,amazing spa gym
"('working', 'front', 'desk')",2,working front desk
"('tried', '9th', 'floor')",2,tried 9th floor
"('harbour', 'view', 'room')",2,harbour view room
"('last', 'night', 'honeymoon')",2,last night honeymoon
"('great', 'view', 'harbour')",2,great view harbour
"('stay', 'one', 'night')",2,stay one night
"('chocolates', 'bottled', 'water')",2,chocolates bottled water
"('great', 'location', 'close')",2,great location close
"('giant', 'cruise', 'ships')",2,giant cruise ships
"('member', 'staff', 'breakfast')",2,member staff breakfast
"('best', 'hotels', 'stayed')",2,best hotels stayed
"('location', 'walking', 'distance')",2,location walking distance
"('early', 'morning', 'flight')",2,early morning flight
"('helpful', 'gave', 'great')",2,helpful gave great
"('gave', 'great', 'recommendations')",2,gave great recommendations
"('port', 'cruise', 'ships')",2,port cruise ships
"('friendly', 'attentive', 'staff')",2,friendly attentive staff
"('area', 'view', 'vesuvius')",2,area view vesuvius
"('restaurant', 'excellent', 'service')",2,restaurant excellent service
"('views', 'bay', 'naples')",2,views bay naples
"('romeo', 'hotel', 'really')",2,romeo hotel really
"('bring', 'back', 'naples')",2,bring back naples
"('interesting', 'everywhere', 'look')",2,interesting everywhere look
"('breakfast', 'included', 'room')",2,breakfast included room
"('pool', 'great', 'view')",2,pool great view
"('well', 'equipped', 'breakfast')",2,well equipped breakfast
"('roof', 'top', 'pool')",2,roof top pool
"('floor', 'restaurant', 'breakfast')",2,floor restaurant breakfast
"('top', 'floor', 'restaurant')",2,top floor restaurant
"('hotel', 'staff', 'outstanding')",2,hotel staff outstanding
"('pool', 'small', 'plunge')",2,pool small plunge
"('ferries', 'cruise', 'ships')",2,ferries cruise ships
"('small', 'plunge', 'pool')",2,small plunge pool
"('well', 'appointed', 'staff')",2,well appointed staff
"('service', 'front', 'desk')",2,service front desk
"('hotel', 'amazing', 'beautiful')",2,hotel amazing beautiful
"('ships', 'coming', 'going')",2,ships coming going
"('rooms', 'nice', 'well')",2,rooms nice well
"('romeo', 'hotel', 'great')",2,romeo hotel great
"('multiple', 'bars', 'rooftop')",2,multiple bars rooftop
"('comfortable', 'king', 'size')",2,comfortable king size
"('offers', 'multiple', 'bars')",2,offers multiple bars
"('elements', 'offers', 'multiple')",2,elements offers multiple
"('9th', 'floor', 'nice')",2,9th floor nice
"('rooftop', 'pool', 'amazing')",2,rooftop pool amazing
"('hotel', 'clean', 'modern')",2,hotel clean modern
"('beautiful', 'hotel', 'modern')",2,beautiful hotel modern
"('would', 'highly', 'recommend')",2,would highly recommend
"('table', 'front', 'row')",2,table front row
"('area', 'around', 'hotel')",2,area around hotel
"('breakfast', 'top', 'notch')",2,breakfast top notch
"('service', 'excellent', 'hotel')",2,service excellent hotel
"('friendly', 'helpful', 'breakfast')",2,friendly helpful breakfast
"('recommend', 'hotel', 'anyone')",2,recommend hotel anyone
"('luke', 'warm', 'coffee')",2,luke warm coffee
"('hotel', 'modern', 'clean')",2,hotel modern clean
"('much', 'trouble', 'staff')",2,much trouble staff
"('staff', 'friendly', 'hotel')",2,staff friendly hotel
"('included', 'room', 'rate')",2,included room rate
"('friendly', 'hotel', 'clean')",2,friendly hotel clean
"('great', 'view', 'port')",2,great view port
"('restaurant', '9th', 'floor')",2,restaurant 9th floor
"('close', 'old', 'city')",2,close old city
"('good', 'would', 'stay')",2,good would stay
"('use', 'spa', 'facilities')",2,use spa facilities
"('pool', 'gym', 'spa')",2,pool gym spa
"('design', 'elements', 'offers')",2,design elements offers
"('restaurants', 'would', 'highly')",1,restaurants would highly
"('hotel', 'perfect', 'traveling')",1,hotel perfect traveling
"('recommend', 'hotel', 'stay')",1,recommend hotel stay
"('water', 'next', 'ferry')",1,water next ferry
"('multiple', 'restaurants', 'would')",1,multiple restaurants would
"('line', 'multiple', 'restaurants')",1,line multiple restaurants
"('ferry', 'line', 'multiple')",1,ferry line multiple
"('next', 'ferry', 'line')",1,next ferry line
"('perfect', 'traveling', 'around')",1,perfect traveling around
"('right', 'water', 'next')",1,right water next
"('traveling', 'around', 'area')",1,traveling around area
"('location', 'right', 'water')",1,location right water
"('around', 'area', 'taking')",1,around area taking
"('average', 'location', 'right')",1,average location right
"('beyond', 'average', 'location')",1,beyond average location
"('well', 'beyond', 'average')",1,well beyond average
"('location', 'hotel', 'perfect')",1,location hotel perfect
"('lovely', 'looking', 'hotel')",1,lovely looking hotel
"('appointed', 'location', 'hotel')",1,appointed location hotel
"('well', 'appointed', 'location')",1,well appointed location
"('floor', 'nice', 'experience')",1,floor nice experience
"('area', 'nicer', 'places')",1,area nicer places
"('nicer', 'places', 'stay')",1,nicer places stay
"('places', 'stay', 'since')",1,places stay since
"('stay', 'since', 'back')",1,stay since back
"('since', 'back', 'nicer')",1,since back nicer
"('back', 'nicer', 'areas')",1,back nicer areas
"('nicer', 'areas', 'expensive')",1,nicer areas expensive
"('areas', 'expensive', 'staff')",1,areas expensive staff
"('expensive', 'staff', 'great')",1,expensive staff great
"('staff', 'great', 'reception')",1,staff great reception
"('great', 'reception', 'staff')",1,great reception staff
"('dinner', 'restaurant', '9th')",1,dinner restaurant 9th
"('reception', 'staff', 'really')",1,reception staff really
"('breakfast', 'dinner', 'restaurant')",1,breakfast dinner restaurant
"('staff', 'really', 'helpful')",1,staff really helpful
"('really', 'helpful', 'restaurant')",1,really helpful restaurant
"('looking', 'area', 'nicer')",1,looking area nicer
"('industrial', 'looking', 'area')",1,industrial looking area
"('nice', 'experience', 'good')",1,nice experience good
"('hotel', 'views', 'port')",1,hotel views port
"('clean', 'well', 'appointed')",1,clean well appointed
"('roomy', 'clean', 'well')",1,roomy clean well
"('stay', 'naples', 'lovely')",1,stay naples lovely
"('naples', 'lovely', 'looking')",1,naples lovely looking
"('rooms', 'roomy', 'clean')",1,rooms roomy clean
"('bar', 'pool', 'well')",1,bar pool well
"('looking', 'hotel', 'views')",1,looking hotel views
"('views', 'rooms', 'roomy')",1,views rooms roomy
"('quite', 'industrial', 'looking')",1,quite industrial looking
"('good', 'views', 'rooms')",1,good views rooms
"('views', 'port', 'particularly')",1,views port particularly
"('port', 'particularly', 'nice')",1,port particularly nice
"('particularly', 'nice', 'position')",1,particularly nice position
"('nice', 'position', 'quite')",1,nice position quite
"('position', 'quite', 'industrial')",1,position quite industrial
"('experience', 'good', 'views')",1,experience good views
"('pool', 'well', 'beyond')",1,pool well beyond
"('received', 'superb', 'service')",1,received superb service
"('spa', 'bar', 'pool')",1,spa bar pool
"('efficient', 'staff', 'door')",1,efficient staff door
"('door', 'reception', 'desk')",1,door reception desk
"('add', 'extra', 'roll')",1,add extra roll
"('enough', 'add', 'extra')",1,enough add extra
"('nice', 'enough', 'add')",1,nice enough add
"('reception', 'desk', 'speed')",1,reception desk speed
"('desk', 'speed', 'luggage')",1,desk speed luggage
"('helpful', 'restaurant', 'staff')",1,helpful restaurant staff
"('hotel', 'nice', 'enough')",1,hotel nice enough
"('speed', 'luggage', 'delivery')",1,speed luggage delivery
"('luggage', 'delivery', 'bar')",1,luggage delivery bar
"('delivery', 'bar', 'roof')",1,delivery bar roof
"('bar', 'roof', 'top')",1,bar roof top
"('roof', 'top', 'michelin')",1,roof top michelin
"('top', 'michelin', 'stared')",1,top michelin stared
"('michelin', 'stared', 'restaurant')",1,michelin stared restaurant
"('staff', 'door', 'reception')",1,staff door reception
"('polite', 'efficient', 'staff')",1,polite efficient staff
"('workers', 'spa', 'bar')",1,workers spa bar
"('extra', 'roll', 'bed')",1,extra roll bed
"('superb', 'service', 'moment')",1,superb service moment
"('service', 'moment', 'met')",1,service moment met
"('moment', 'met', 'car')",1,moment met car
"('two', 'nights', 'received')",1,two nights received
"('everyone', 'stayed', 'two')",1,everyone stayed two
"('something', 'everyone', 'stayed')",1,something everyone stayed
"('nice', 'something', 'everyone')",1,nice something everyone
"('breakfast', 'nice', 'something')",1,breakfast nice something
"('met', 'car', 'roadside')",1,met car roadside
"('car', 'roadside', 'good')",1,car roadside good
"('roadside', 'good', 'humoured')",1,roadside good humoured
"('good', 'humoured', 'polite')",1,good humoured polite
"('bed', 'breakfast', 'nice')",1,bed breakfast nice
"('roll', 'bed', 'breakfast')",1,roll bed breakfast
"('humoured', 'polite', 'efficient')",1,humoured polite efficient
"('stared', 'restaurant', 'wowed')",1,stared restaurant wowed
"('restaurant', 'wowed', 'course')",1,restaurant wowed course
"('however', 'hotel', 'nice')",1,however hotel nice
"('wowed', 'course', 'tasting')",1,wowed course tasting
"('rooms', 'completed', 'package')",1,rooms completed package
"('completed', 'package', 'fantastic')",1,completed package fantastic
"('package', 'fantastic', 'time')",1,package fantastic time
"('fantastic', 'time', 'romeo')",1,fantastic time romeo
"('choose', 'room', 'based')",1,choose room based
"('view', 'choose', 'room')",1,view choose room
"('nights', 'received', 'superb')",1,nights received superb
"('romeo', 'arsenal', 'one')",1,romeo arsenal one
"('arsenal', 'one', 'best')",1,arsenal one best
"('picturesque', 'view', 'choose')",1,picturesque view choose
"('ferrys', 'picturesque', 'view')",1,ferrys picturesque view
"('hotels', 'stayed', 'workers')",1,hotels stayed workers
"('taking', 'ferrys', 'picturesque')",1,taking ferrys picturesque
"('area', 'taking', 'ferrys')",1,area taking ferrys
"('stayed', 'workers', 'spa')",1,stayed workers spa
"('equipped', 'rooms', 'completed')",1,equipped rooms completed
"('well', 'equipped', 'rooms')",1,well equipped rooms
"('room', 'based', 'stayed')",1,room based stayed
"('wine', 'flight', 'inexpensive')",1,wine flight inexpensive
"('tight', 'however', 'hotel')",1,tight however hotel
"('course', 'tasting', 'menu')",1,course tasting menu
"('tasting', 'menu', 'wine')",1,tasting menu wine
"('bit', 'tight', 'however')",1,bit tight however
"('menu', 'wine', 'flight')",1,menu wine flight
"('room', 'bit', 'tight')",1,room bit tight
"('flight', 'inexpensive', 'simply')",1,flight inexpensive simply
"('based', 'stayed', 'kids')",1,based stayed kids
"('one', 'room', 'bit')",1,one room bit
"('kids', 'one', 'room')",1,kids one room
"('inexpensive', 'simply', 'wonderful')",1,inexpensive simply wonderful
"('simply', 'wonderful', 'comfortable')",1,simply wonderful comfortable
"('stayed', 'kids', 'one')",1,stayed kids one
"('wonderful', 'comfortable', 'well')",1,wonderful comfortable well
"('time', 'romeo', 'arsenal')",1,time romeo arsenal
"('impressive', 'modernity', 'many')",1,impressive modernity many
"('restaurant', 'staff', 'great')",1,restaurant staff great
"('handy', 'port', 'visiting')",1,handy port visiting
"('restaurant', 'lovely', 'particular')",1,restaurant lovely particular
"('lovely', 'particular', 'fish')",1,lovely particular fish
"('particular', 'fish', 'staff')",1,particular fish staff
"('fish', 'staff', 'helpful')",1,fish staff helpful
"('helpful', 'friendly', 'speak')",1,helpful friendly speak
"('friendly', 'speak', 'english')",1,friendly speak english
"('speak', 'english', 'well')",1,speak english well
"('english', 'well', 'location')",1,english well location
"('well', 'location', 'handy')",1,well location handy
"('location', 'handy', 'port')",1,location handy port
"('port', 'visiting', 'amalfi')",1,port visiting amalfi
"('departure', 'process', 'amazing')",1,departure process amazing
"('visiting', 'amalfi', 'coast')",1,visiting amalfi coast
"('amalfi', 'coast', 'capri')",1,amalfi coast capri
"('coast', 'capri', 'points')",1,coast capri points
"('capri', 'points', 'interest')",1,capri points interest
"('points', 'interest', 'cafes')",1,points interest cafes
"('interest', 'cafes', 'reastaurants')",1,interest cafes reastaurants
"('cafes', 'reastaurants', 'shops')",1,cafes reastaurants shops
"('reastaurants', 'shops', 'min')",1,reastaurants shops min
"('shops', 'min', 'walk')",1,shops min walk
"('min', 'walk', 'hotel')",1,min walk hotel
"('fine', 'restaurant', 'lovely')",1,fine restaurant lovely
"('shower', 'fine', 'restaurant')",1,shower fine restaurant
"('held', 'shower', 'fine')",1,held shower fine
"('hand', 'held', 'shower')",1,hand held shower
"('amazing', 'always', 'helpful')",1,amazing always helpful
"('always', 'helpful', 'throughout')",1,always helpful throughout
"('helpful', 'throughout', 'stay')",1,helpful throughout stay
"('throughout', 'stay', 'went')",1,throughout stay went
"('stay', 'went', 'naples')",1,stay went naples
"('went', 'naples', 'mother')",1,went naples mother
"('naples', 'mother', 'daughter')",1,naples mother daughter
"('mother', 'daughter', 'trip')",1,mother daughter trip
"('daughter', 'trip', 'see')",1,daughter trip see
"('trip', 'see', 'pompeii')",1,trip see pompeii
"('see', 'pompeii', 'naples')",1,see pompeii naples
"('pompeii', 'naples', 'room')",1,pompeii naples room
"('naples', 'room', 'comfortable')",1,naples room comfortable
"('room', 'comfortable', 'clean')",1,room comfortable clean
"('comfortable', 'clean', 'unfortunately')",1,comfortable clean unfortunately
"('clean', 'unfortunately', 'get')",1,clean unfortunately get
"('unfortunately', 'get', 'rain')",1,unfortunately get rain
"('get', 'rain', 'shower')",1,get rain shower
"('rain', 'shower', 'operate')",1,rain shower operate
"('shower', 'operate', 'hand')",1,shower operate hand
"('operate', 'hand', 'held')",1,operate hand held
"('walk', 'hotel', 'favorite')",1,walk hotel favorite
"('hotel', 'favorite', 'part')",1,hotel favorite part
"('favorite', 'part', 'staying')",1,favorite part staying
"('eat', 'pizza', 'tons')",1,eat pizza tons
"('tons', 'decide', 'stay')",1,tons decide stay
"('decide', 'stay', 'naples')",1,decide stay naples
"('stay', 'naples', 'like')",1,stay naples like
"('naples', 'like', 'hotel')",1,naples like hotel
"('like', 'hotel', 'stay')",1,like hotel stay
"('hotel', 'close', 'subway')",1,hotel close subway
"('close', 'subway', 'easily')",1,close subway easily
"('subway', 'easily', 'walkable')",1,subway easily walkable
"('easily', 'walkable', 'many')",1,easily walkable many
"('walkable', 'many', 'sites')",1,walkable many sites
"('many', 'sites', 'hotel')",1,many sites hotel
"('sites', 'hotel', 'clean')",1,sites hotel clean
"('hotel', 'clean', 'great')",1,hotel clean great
"('clean', 'great', 'facilities')",1,clean great facilities
"('great', 'facilities', 'staff')",1,great facilities staff
"('facilities', 'staff', 'staff')",1,facilities staff staff
"('staff', 'staff', 'helpful')",1,staff staff helpful
"('staff', 'helpful', 'making')",1,staff helpful making
"('helpful', 'making', 'reservations')",1,helpful making reservations
"('making', 'reservations', 'suggestions')",1,making reservations suggestions
"('reservations', 'suggestions', 'sightseeing')",1,reservations suggestions sightseeing
"('pizza', 'tons', 'decide')",1,pizza tons decide
"('naples', 'eat', 'pizza')",1,naples eat pizza
"('part', 'staying', 'naples')",1,part staying naples
"('visit', 'naples', 'eat')",1,visit naples eat
"('staying', 'naples', 'naples')",1,staying naples naples
"('naples', 'naples', 'type')",1,naples naples type
"('naples', 'type', 'city')",1,naples type city
"('type', 'city', 'crossing')",1,type city crossing
"('city', 'crossing', 'street')",1,city crossing street
"('crossing', 'street', 'stressful')",1,crossing street stressful
"('street', 'stressful', 'trash')",1,street stressful trash
"('stressful', 'trash', 'everywhere')",1,stressful trash everywhere
"('trash', 'everywhere', 'tagging')",1,trash everywhere tagging
"('everywhere', 'tagging', 'buildings')",1,everywhere tagging buildings
"('tagging', 'buildings', 'see')",1,tagging buildings see
"('buildings', 'see', 'great')",1,buildings see great
"('see', 'great', 'bones')",1,see great bones
"('great', 'bones', 'city')",1,great bones city
"('bones', 'city', 'somehow')",1,bones city somehow
"('city', 'somehow', 'things')",1,city somehow things
"('somehow', 'things', 'maintained')",1,somehow things maintained
"('things', 'maintained', 'one')",1,things maintained one
"('maintained', 'one', 'reason')",1,maintained one reason
"('one', 'reason', 'visit')",1,one reason visit
"('reason', 'visit', 'naples')",1,reason visit naples
"('process', 'amazing', 'always')",1,process amazing always
"('arrival', 'departure', 'process')",1,arrival departure process
"('staff', 'great', 'antonio')",1,staff great antonio
"('taken', 'force', 'told')",1,taken force told
"('back', 'room', 'gentleman')",1,back room gentleman
"('room', 'gentleman', 'desk')",1,room gentleman desk
"('gentleman', 'desk', 'turned')",1,gentleman desk turned
"('desk', 'turned', 'lock')",1,desk turned lock
"('turned', 'lock', 'shattered')",1,turned lock shattered
"('lock', 'shattered', 'quite')",1,lock shattered quite
"('shattered', 'quite', 'worrying')",1,shattered quite worrying
"('quite', 'worrying', 'must')",1,quite worrying must
"('worrying', 'must', 'taken')",1,worrying must taken
"('must', 'taken', 'force')",1,must taken force
"('force', 'told', 'happens')",1,force told happens
"('managed', 'arrival', 'departure')",1,managed arrival departure
"('told', 'happens', 'amazing')",1,told happens amazing
"('longer', 'ate', 'breakfast')",1,longer ate breakfast
"('happens', 'amazing', 'stay')",1,happens amazing stay
"('amazing', 'stay', 'romeo')",1,amazing stay romeo
"('romeo', 'hotel', 'stylish')",1,romeo hotel stylish
"('hotel', 'stylish', 'offers')",1,hotel stylish offers
"('stylish', 'offers', 'rooftop')",1,stylish offers rooftop
"('offers', 'rooftop', 'pool')",1,offers rooftop pool
"('rooftop', 'pool', 'jacuzzi')",1,rooftop pool jacuzzi
"('pool', 'jacuzzi', 'harbour')",1,pool jacuzzi harbour
"('escorted', 'back', 'room')",1,escorted back room
"('immediately', 'escorted', 'back')",1,immediately escorted back
"('report', 'immediately', 'escorted')",1,report immediately escorted
"('reception', 'report', 'immediately')",1,reception report immediately
"('great', 'antonio', 'lobby')",1,great antonio lobby
"('antonio', 'lobby', 'fantastic')",1,antonio lobby fantastic
"('lobby', 'fantastic', 'lived')",1,lobby fantastic lived
"('fantastic', 'lived', 'rating')",1,fantastic lived rating
"('lived', 'rating', 'ways')",1,lived rating ways
"('rating', 'ways', 'lets')",1,rating ways lets
"('ways', 'lets', 'light')",1,ways lets light
"('lets', 'light', 'bulbs')",1,lets light bulbs
"('light', 'bulbs', 'room')",1,light bulbs room
"('bulbs', 'room', 'first')",1,bulbs room first
"('room', 'first', 'night')",1,room first night
"('first', 'night', 'got')",1,first night got
"('night', 'got', 'back')",1,night got back
"('got', 'back', 'room')",1,got back room
"('back', 'room', '30ish')",1,back room 30ish
"('room', '30ish', 'find')",1,room 30ish find
"('30ish', 'find', 'get')",1,30ish find get
"('find', 'get', 'room')",1,find get room
"('get', 'room', 'sent')",1,get room sent
"('room', 'sent', 'reception')",1,room sent reception
"('sent', 'reception', 'report')",1,sent reception report
"('jacuzzi', 'harbour', 'views')",1,jacuzzi harbour views
"('harbour', 'views', 'staff')",1,harbour views staff
"('views', 'staff', 'nice')",1,views staff nice
"('heart', 'well', 'managed')",1,heart well managed
"('managed', 'hotel', 'caters')",1,managed hotel caters
"('hotel', 'caters', 'every')",1,hotel caters every
"('caters', 'every', 'need')",1,caters every need
"('every', 'need', 'found')",1,every need found
"('need', 'found', 'concierge')",1,need found concierge
"('found', 'concierge', 'staff')",1,found concierge staff
"('concierge', 'staff', 'amazing')",1,concierge staff amazing
"('staff', 'amazing', 'places')",1,staff amazing places
"('amazing', 'places', 'see')",1,amazing places see
"('places', 'see', 'dinner')",1,places see dinner
"('see', 'dinner', 'reservations')",1,see dinner reservations
"('dinner', 'reservations', 'travel')",1,dinner reservations travel
"('reservations', 'travel', 'bookings')",1,reservations travel bookings
"('travel', 'bookings', 'general')",1,travel bookings general
"('bookings', 'general', 'assistance')",1,bookings general assistance
"('general', 'assistance', 'guy')",1,general assistance guy
"('assistance', 'guy', 'sorry')",1,assistance guy sorry
"('guy', 'sorry', 'know')",1,guy sorry know
"('sorry', 'know', 'name')",1,sorry know name
"('know', 'name', 'managed')",1,know name managed
"('name', 'managed', 'arrival')",1,name managed arrival
"('well', 'managed', 'hotel')",1,well managed hotel
"('interesting', 'heart', 'well')",1,interesting heart well
"('staff', 'nice', 'breakfast')",1,staff nice breakfast
"('funky', 'interesting', 'heart')",1,funky interesting heart
"('nice', 'breakfast', 'delicious')",1,nice breakfast delicious
"('breakfast', 'delicious', 'room')",1,breakfast delicious room
"('delicious', 'room', 'big')",1,delicious room big
"('room', 'big', 'everything')",1,room big everything
"('big', 'everything', 'modern')",1,big everything modern
"('everything', 'modern', 'well')",1,everything modern well
"('modern', 'well', 'picked')",1,modern well picked
"('well', 'picked', 'interior')",1,well picked interior
"('picked', 'interior', 'whenever')",1,picked interior whenever
"('interior', 'whenever', 'naples')",1,interior whenever naples
"('whenever', 'naples', 'place')",1,whenever naples place
"('naples', 'place', 'stay')",1,naples place stay
"('place', 'stay', 'loved')",1,place stay loved
"('stay', 'loved', 'stay')",1,stay loved stay
"('loved', 'stay', 'romeo')",1,loved stay romeo
"('stay', 'romeo', 'naples')",1,stay romeo naples
"('romeo', 'naples', 'whole')",1,romeo naples whole
"('naples', 'whole', 'experience')",1,naples whole experience
"('whole', 'experience', 'pretty')",1,whole experience pretty
"('experience', 'pretty', 'funky')",1,experience pretty funky
"('pretty', 'funky', 'interesting')",1,pretty funky interesting
"('ate', 'breakfast', 'dinner')",1,ate breakfast dinner
"('course', 'fully', 'booked')",1,course fully booked
"('stayed', 'longer', 'ate')",1,stayed longer ate
"('sliding', 'doors', 'separated')",1,sliding doors separated
"('size', 'overnight', 'stay')",1,size overnight stay
"('overnight', 'stay', 'odd')",1,overnight stay odd
"('stay', 'odd', 'bathroom')",1,stay odd bathroom
"('odd', 'bathroom', 'arrangements')",1,odd bathroom arrangements
"('bathroom', 'arrangements', 'bathroom')",1,bathroom arrangements bathroom
"('arrangements', 'bathroom', 'area')",1,arrangements bathroom area
"('bathroom', 'area', 'frosted')",1,bathroom area frosted
"('area', 'frosted', 'glass')",1,area frosted glass
"('frosted', 'glass', 'sliding')",1,frosted glass sliding
"('glass', 'sliding', 'doors')",1,glass sliding doors
"('doors', 'separated', 'sleeping')",1,doors separated sleeping
"('short', 'kept', 'going')",1,short kept going
"('separated', 'sleeping', 'area')",1,separated sleeping area
"('sleeping', 'area', 'lights')",1,sleeping area lights
"('area', 'lights', 'automatic')",1,area lights automatic
"('lights', 'automatic', 'sort')",1,lights automatic sort
"('automatic', 'sort', 'movement')",1,automatic sort movement
"('sort', 'movement', 'sensor')",1,sort movement sensor
"('movement', 'sensor', 'time')",1,movement sensor time
"('sensor', 'time', 'delay')",1,sensor time delay
"('time', 'delay', 'quite')",1,time delay quite
"('delay', 'quite', 'short')",1,delay quite short
"('adequate', 'size', 'overnight')",1,adequate size overnight
"('features', 'adequate', 'size')",1,features adequate size
"('explained', 'features', 'adequate')",1,explained features adequate
"('staff', 'explained', 'features')",1,staff explained features
"('area', 'foyer', 'large')",1,area foyer large
"('foyer', 'large', 'interesting')",1,foyer large interesting
"('large', 'interesting', 'water')",1,large interesting water
"('interesting', 'water', 'features')",1,interesting water features
"('water', 'features', 'actual')",1,water features actual
"('features', 'actual', 'reception')",1,features actual reception
"('actual', 'reception', 'area')",1,actual reception area
"('reception', 'area', 'small')",1,reception area small
"('area', 'small', 'barely')",1,area small barely
"('small', 'barely', 'enough')",1,small barely enough
"('barely', 'enough', 'space')",1,barely enough space
"('enough', 'space', 'couple')",1,enough space couple
"('space', 'couple', 'customers')",1,space couple customers
"('couple', 'customers', 'time')",1,couple customers time
"('customers', 'time', 'room')",1,customers time room
"('time', 'room', 'third')",1,time room third
"('room', 'third', 'floor')",1,room third floor
"('third', 'floor', 'helpful')",1,third floor helpful
