trigram,frequency,trigrams
"('at', 'this', 'hotel')",8,at this hotel
"('great', 'view', 'of')",8,great view of
"('we', 'stayed', 'in')",8,we stayed in
"('the', 'view', 'from')",8,the view from
"('in', 'the', 'room')",8,in the room
"('the', 'staff', 'are')",8,the staff are
"('there', 'is', 'a')",8,there is a
"('a', 'view', 'of')",8,a view of
"('walking', 'distance', 'to')",7,walking distance to
"('the', 'staff', 'is')",7,the staff is
"('in', 'naples', 'the')",7,in naples the
"('the', 'service', 'was')",7,the service was
"('stay', 'at', 'the')",7,stay at the
"('the', 'hotel', 'and')",7,the hotel and
"('front', 'desk', 'staff')",7,front desk staff
"('and', 'we', 'had')",7,and we had
"('of', 'the', 'bay')",7,of the bay
"('to', 'our', 'room')",7,to our room
"('and', 'the', 'pool')",7,and the pool
"('the', 'end', 'of')",7,the end of
"('and', 'the', 'hotel')",7,and the hotel
"('of', 'naples', 'and')",7,of naples and
"('had', 'a', 'great')",7,had a great
"('all', 'the', 'staff')",7,all the staff
"('were', 'able', 'to')",7,were able to
"('is', 'close', 'to')",7,is close to
"('the', 'breakfast', 'buffet')",7,the breakfast buffet
"('this', 'is', 'a')",7,this is a
"('this', 'hotel', 'is')",7,this hotel is
"('and', 'the', 'breakfast')",7,and the breakfast
"('the', 'location', 'was')",7,the location was
"('the', 'breakfast', 'was')",7,the breakfast was
"('you', 'want', 'to')",7,you want to
"('it', 's', 'not')",7,it s not
"('staff', 'at', 'the')",6,staff at the
"('9th', 'floor', 'restaurant')",6,9th floor restaurant
"('room', 'was', 'very')",6,room was very
"('hotel', 'is', 'very')",6,hotel is very
"('was', 'excellent', 'and')",6,was excellent and
"('and', 'very', 'comfortable')",6,and very comfortable
"('i', 'had', 'a')",6,i had a
"('of', 'the', 'harbour')",6,of the harbour
"('from', 'the', 'hotel')",6,from the hotel
"('and', 'all', 'the')",6,and all the
"('rooftop', 'pool', 'is')",6,rooftop pool is
"('in', 'the', 'morning')",6,in the morning
"('the', 'food', 'was')",6,the food was
"('and', 'the', 'service')",6,and the service
"('we', 'did', 'not')",6,we did not
"('were', 'very', 'friendly')",6,were very friendly
"('as', 'well', 'as')",6,as well as
"('access', 'to', 'the')",6,access to the
"('of', 'our', 'stay')",6,of our stay
"('hotel', 'was', 'very')",6,hotel was very
"('a', 'michelin', 'star')",6,a michelin star
"('was', 'very', 'nice')",6,was very nice
"('my', 'wife', 'and')",6,my wife and
"('was', 'a', 'bit')",6,was a bit
"('from', 'the', 'moment')",6,from the moment
"('is', 'one', 'of')",6,is one of
"('in', 'the', 'lobby')",6,in the lobby
"('of', 'naples', 'with')",6,of naples with
"('the', 'top', 'floor')",6,the top floor
"('was', 'great', 'the')",6,was great the
"('the', 'pool', 'is')",6,the pool is
"('distance', 'to', 'the')",6,distance to the
"('to', 'all', 'the')",6,to all the
"('view', 'from', 'the')",6,view from the
"('in', 'the', 'city')",6,in the city
"('on', 'the', '9th')",6,on the 9th
"('of', 'the', 'room')",6,of the room
"('in', 'our', 'room')",6,in our room
"('all', 'of', 'the')",6,all of the
"('views', 'of', 'the')",6,views of the
"('a', 'great', 'view')",6,a great view
"('pool', 'on', 'the')",6,pool on the
"('turn', 'down', 'service')",6,turn down service
"('you', 'have', 'to')",6,you have to
"('at', 'the', 'end')",5,at the end
"('there', 'was', 'no')",5,there was no
"('we', 'loved', 'the')",5,we loved the
"('excellent', 'and', 'the')",5,excellent and the
"('naples', 'and', 'the')",5,naples and the
"('the', 'restaurant', 'was')",5,the restaurant was
"('from', 'our', 'room')",5,from our room
"('romeo', 'is', 'a')",5,romeo is a
"('the', 'restaurant', 'on')",5,the restaurant on
"('in', 'the', 'restaurant')",5,in the restaurant
"('hotel', 'with', 'a')",5,hotel with a
"('were', 'very', 'helpful')",5,were very helpful
"('it', 'is', 'a')",5,it is a
"('it', 'was', 'very')",5,it was very
"('hotel', 'and', 'the')",5,hotel and the
"('to', 'the', 'room')",5,to the room
"('wife', 'and', 'i')",5,wife and i
"('romeo', 'hotel', 'is')",5,romeo hotel is
"('at', 'the', 'restaurant')",5,at the restaurant
"('very', 'clean', 'and')",5,very clean and
"('to', 'stay', 'in')",5,to stay in
"('hotel', 'is', 'close')",5,hotel is close
"('and', 'had', 'a')",5,and had a
"('will', 'be', 'back')",5,will be back
"('is', 'modern', 'and')",5,is modern and
"('very', 'helpful', 'and')",5,very helpful and
"('had', 'to', 'leave')",5,had to leave
"('bar', 'and', 'pool')",5,bar and pool
"('and', 'very', 'helpful')",5,and very helpful
"('stay', 'at', 'this')",5,stay at this
"('the', 'hotel', 'staff')",5,the hotel staff
"('this', 'hotel', 'for')",5,this hotel for
"('to', 'the', 'airport')",5,to the airport
"('was', 'very', 'clean')",5,was very clean
"('across', 'the', 'street')",5,across the street
"('i', 'had', 'to')",5,i had to
"('definitely', 'stay', 'here')",5,definitely stay here
"('the', 'wellness', 'room')",5,the wellness room
"('if', 'you', 'are')",5,if you are
"('is', 'not', 'a')",5,is not a
"('stay', 'in', 'naples')",5,stay in naples
"('mt', 'vesuvius', 'and')",5,mt vesuvius and
"('and', 'i', 'had')",5,and i had
"('ask', 'for', 'a')",5,ask for a
"('in', 'a', 'hotel')",5,in a hotel
"('is', 'a', 'bit')",5,is a bit
"('the', 'staff', 'at')",5,the staff at
"('was', 'clean', 'and')",5,was clean and
"('of', 'the', 'city')",5,of the city
"('the', 'pool', 'and')",5,the pool and
"('to', 'stay', 'there')",5,to stay there
"('nights', 'at', 'the')",5,nights at the
"('didn', 't', 'have')",5,didn t have
"('the', 'hotel', 'itself')",5,the hotel itself
"('a', 'few', 'minutes')",4,a few minutes
"('the', 'hotel', 'the')",4,the hotel the
"('of', 'mt', 'vesuvius')",4,of mt vesuvius
"('time', 'we', 'had')",4,time we had
"('the', 'old', 'city')",4,the old city
"('five', 'star', 'hotel')",4,five star hotel
"('a', 'five', 'star')",4,a five star
"('of', 'the', 'harbor')",4,of the harbor
"('out', 'of', 'the')",4,out of the
"('could', 'not', 'be')",4,could not be
"('the', 'cruise', 'ships')",4,the cruise ships
"('in', 'walking', 'distance')",4,in walking distance
"('the', 'ferry', 'terminal')",4,the ferry terminal
"('the', 'view', 'of')",4,the view of
"('would', 'recommend', 'this')",4,would recommend this
"('i', 'would', 'recommend')",4,i would recommend
"('the', 'lobby', 'and')",4,the lobby and
"('to', 'stay', 'at')",4,to stay at
"('room', 'and', 'the')",4,room and the
"('but', 'it', 'was')",4,but it was
"('you', 'are', 'in')",4,you are in
"('with', 'a', 'great')",4,with a great
"('in', 'naples', 'and')",4,in naples and
"('was', 'excellent', 'the')",4,was excellent the
"('our', 'room', 'and')",4,our room and
"('if', 'you', 'want')",4,if you want
"('in', 'naples', 'we')",4,in naples we
"('the', '10th', 'floor')",4,the 10th floor
"('are', 'in', 'naples')",4,are in naples
"('we', 'spent', 'a')",4,we spent a
"('to', 'make', 'a')",4,to make a
"('room', 'with', 'a')",4,room with a
"('room', 'which', 'was')",4,room which was
"('we', 'were', 'in')",4,we were in
"('the', 'room', 'we')",4,the room we
"('needs', 'to', 'be')",4,needs to be
"('would', 'stay', 'here')",4,would stay here
"('hotel', 'in', 'the')",4,hotel in the
"('we', 'had', 'breakfast')",4,we had breakfast
"('and', 'i', 'stayed')",4,and i stayed
"('the', 'room', 'itself')",4,the room itself
"('the', 'restaurant', 'is')",4,the restaurant is
"('the', 'next', 'day')",4,the next day
"('a', 'couple', 'of')",4,a couple of
"('vesuvius', 'and', 'capri')",4,vesuvius and capri
"('a', 'great', 'experience')",4,a great experience
"('across', 'from', 'the')",4,across from the
"('on', 'the', '10th')",4,on the 10th
"('clean', 'and', 'modern')",4,clean and modern
"('of', 'our', 'honeymoon')",4,of our honeymoon
"('was', 'one', 'of')",4,was one of
"('and', 'the', 'rooms')",4,and the rooms
"('hotel', 'is', 'in')",4,hotel is in
"('to', 'use', 'the')",4,to use the
"('was', 'very', 'helpful')",4,was very helpful
"('amazing', 'and', 'the')",4,amazing and the
"('we', 'stayed', 'at')",4,we stayed at
"('the', 'breakfast', 'is')",4,the breakfast is
"('and', 'cruise', 'ships')",4,and cruise ships
"('romeo', 'was', 'a')",4,romeo was a
"('the', 'rooms', 'and')",4,the rooms and
"('in', 'the', 'evening')",4,in the evening
"('hotel', 'romeo', 'was')",4,hotel romeo was
"('place', 'to', 'stay')",4,place to stay
"('the', 'best', 'hotel')",4,the best hotel
"('a', 'great', 'location')",4,a great location
"('beautiful', 'hotel', 'with')",4,beautiful hotel with
"('a', 'beautiful', 'hotel')",4,a beautiful hotel
"('romeo', 'hotel', 'for')",4,romeo hotel for
"('had', 'a', 'view')",4,had a view
"('from', 'the', 'rooftop')",4,from the rooftop
"('very', 'helpful', 'the')",4,very helpful the
"('we', 'enjoyed', 'the')",4,we enjoyed the
"('we', 'also', 'had')",4,we also had
"('breakfast', 'buffet', 'was')",4,breakfast buffet was
"('location', 'close', 'to')",4,location close to
"('rooms', 'are', 'very')",4,rooms are very
"('the', 'heart', 'of')",4,the heart of
"('that', 'the', 'hotel')",4,that the hotel
"('we', 'will', 'be')",4,we will be
"('quality', 'of', 'the')",4,quality of the
"('helpful', 'and', 'friendly')",4,helpful and friendly
"('to', 'have', 'a')",4,to have a
"('star', 'restaurant', 'was')",4,star restaurant was
"('our', 'room', 'the')",4,our room the
"('and', 'well', 'appointed')",4,and well appointed
"('our', 'stay', 'the')",4,our stay the
"('breakfast', 'buffet', 'is')",4,breakfast buffet is
"('the', 'bed', 'was')",4,the bed was
"('most', 'of', 'the')",4,most of the
"('the', 'spa', 'is')",4,the spa is
"('and', 'they', 'were')",4,and they were
"('to', 'go', 'back')",4,to go back
"('the', 'room', 'is')",4,the room is
"('was', 'very', 'good')",4,was very good
"('very', 'nice', 'and')",4,very nice and
"('to', 'get', 'the')",4,to get the
"('can', 't', 'wait')",4,can t wait
"('in', 'front', 'of')",4,in front of
"('front', 'of', 'the')",4,front of the
"('it', 's', 'in')",4,it s in
"('many', 'of', 'the')",4,many of the
"('within', 'walking', 'distance')",4,within walking distance
"('check', 'in', 'was')",4,check in was
"('walking', 'distance', 'of')",4,walking distance of
"('part', 'of', 'the')",4,part of the
"('in', 'a', 'great')",4,in a great
"('and', 'mt', 'vesuvius')",4,and mt vesuvius
"('the', 'ferry', 'to')",4,the ferry to
"('pool', 'and', 'a')",4,pool and a
"('when', 'we', 'arrived')",4,when we arrived
"('i', 'would', 'have')",4,i would have
"('would', 'definitely', 'stay')",4,would definitely stay
"('stayed', 'at', 'the')",4,stayed at the
"('location', 'of', 'the')",4,location of the
"('i', 'don', 't')",4,i don t
"('the', 'location', 'of')",4,the location of
"('was', 'very', 'friendly')",4,was very friendly
"('what', 'you', 'get')",4,what you get
"('hotel', 'it', 's')",4,hotel it s
"('and', 'helpful', 'the')",4,and helpful the
"('in', 'naples', 'it')",4,in naples it
"('and', 'the', 'spa')",4,and the spa
"('i', 'would', 'definitely')",4,i would definitely
"('the', 'decor', 'is')",4,the decor is
"('to', 'get', 'to')",4,to get to
"('back', 'to', 'naples')",4,back to naples
"('i', 've', 'ever')",4,i ve ever
"('the', 'best', 'i')",4,the best i
"('and', 'helpful', 'staff')",4,and helpful staff
"('the', 'harbour', 'and')",4,the harbour and
"('of', 'mount', 'vesuvius')",4,of mount vesuvius
"('my', 'husband', 'and')",4,my husband and
"('was', 'that', 'the')",4,was that the
"('hotel', 'for', 'the')",3,hotel for the
"('stayed', 'at', 'romeo')",3,stayed at romeo
"('naples', 'our', 'room')",3,naples our room
"('out', 'of', 'their')",3,out of their
"('rooms', 'facing', 'the')",3,rooms facing the
"('at', 'the', 'beginning')",3,at the beginning
"('make', 'our', 'stay')",3,make our stay
"('of', 'all', 'the')",3,of all the
"('modern', 'hotel', 'in')",3,modern hotel in
"('king', 'size', 'bed')",3,king size bed
"('to', 'make', 'our')",3,to make our
"('star', 'restaurant', 'on')",3,star restaurant on
"('lobby', 'bar', 'and')",3,lobby bar and
"('the', 'best', 'hotels')",3,the best hotels
"('hotel', 'is', 'a')",3,hotel is a
"('end', 'of', 'our')",3,end of our
"('out', 'over', 'the')",3,out over the
"('to', 'this', 'hotel')",3,to this hotel
"('cruise', 'ships', 'but')",3,cruise ships but
"('hotels', 'in', 'naples')",3,hotels in naples
"('the', 'bed', 'is')",3,the bed is
"('up', 'to', 'its')",3,up to its
"('was', 'exceptional', 'the')",3,was exceptional the
"('as', 'a', 'base')",3,as a base
"('our', 'stay', 'was')",3,our stay was
"('was', 'in', 'a')",3,was in a
"('the', 'most', 'comfortable')",3,the most comfortable
"('being', 'able', 'to')",3,being able to
"('a', 'table', 'in')",3,a table in
"('nice', 'but', 'the')",3,nice but the
"('stayed', 'in', 'the')",3,stayed in the
"('stayed', '4', 'nights')",3,stayed 4 nights
"('return', 'to', 'this')",3,return to this
"('the', 'pool', 'the')",3,the pool the
"('too', 'much', 'trouble')",3,too much trouble
"('the', 'lobby', 'bar')",3,the lobby bar
"('but', 'there', 'was')",3,but there was
"('the', 'hotel', 's')",3,the hotel s
"('spend', 'some', 'time')",3,spend some time
"('we', 'ate', 'in')",3,we ate in
"('was', 'also', 'very')",3,was also very
"('we', 'could', 'have')",3,we could have
"('when', 'i', 'asked')",3,when i asked
"('view', 'of', 'vesuvius')",3,view of vesuvius
"('was', 'really', 'good')",3,was really good
"('i', 'didn', 't')",3,i didn t
"('ate', 'in', 'the')",3,ate in the
"('friendly', 'and', 'the')",3,friendly and the
"('it', 'was', 'like')",3,it was like
"('very', 'close', 'to')",3,very close to
"('it', 'is', 'very')",3,it is very
"('romeo', 'hotel', 'in')",3,romeo hotel in
"('was', 'such', 'a')",3,was such a
"('for', 'the', 'price')",3,for the price
"('no', 'complaint', 'there')",3,no complaint there
"('i', 'wouldn', 't')",3,i wouldn t
"('hotel', 'the', 'staff')",3,hotel the staff
"('was', 'a', 'nice')",3,was a nice
"('5', 'star', 'hotels')",3,5 star hotels
"('was', 'a', 'beautiful')",3,was a beautiful
"('a', 'lovely', 'stay')",3,a lovely stay
"('we', 'arrived', 'we')",3,we arrived we
"('the', 'shower', 'the')",3,the shower the
"('the', 'spa', 'facilities')",3,the spa facilities
"('the', 'hotel', 'has')",3,the hotel has
"('on', 'our', 'honeymoon')",3,on our honeymoon
"('advantage', 'of', 'the')",3,advantage of the
"('this', 'was', 'a')",3,this was a
"('and', 'very', 'good')",3,and very good
"('rooms', 'are', 'clean')",3,rooms are clean
"('back', 'to', 'the')",3,back to the
"('and', 'the', 'location')",3,and the location
"('staff', 'of', 'the')",3,staff of the
"('the', 'staff', 'of')",3,the staff of
"('we', 'were', 'able')",3,we were able
"('the', 'view', 'is')",3,the view is
"('their', 'michelin', 'star')",3,their michelin star
"('very', 'modern', 'and')",3,very modern and
"('the', 'whole', 'room')",3,the whole room
"('would', 'want', 'to')",3,would want to
"('it', 'was', 'absolutely')",3,it was absolutely
"('from', 'the', 'restaurant')",3,from the restaurant
"('was', 'conveniently', 'located')",3,was conveniently located
"('want', 'to', 'visit')",3,want to visit
"('naples', 'is', 'a')",3,naples is a
"('at', 'romeo', 'hotel')",3,at romeo hotel
"('and', 'the', 'city')",3,and the city
"('you', 'can', 'get')",3,you can get
"('time', 'in', 'naples')",3,time in naples
"('of', 'the', 'staff')",3,of the staff
"('food', 'was', 'good')",3,food was good
"('the', 'quality', 'of')",3,the quality of
"('we', 'were', 'not')",3,we were not
"('the', 'spanish', 'quarter')",3,the spanish quarter
"('husband', 'and', 'i')",3,husband and i
"('thank', 'you', 'for')",3,thank you for
"('had', 'a', 'lot')",3,had a lot
"('highly', 'recommend', 'this')",3,highly recommend this
"('over', 'the', 'bay')",3,over the bay
"('the', 'bay', 'the')",3,the bay the
"('when', 'you', 'are')",3,when you are
"('i', 'did', 'not')",3,i did not
"('for', 'the', 'last')",3,for the last
"('to', 'the', 'restaurant')",3,to the restaurant
"('the', 'staff', 'the')",3,the staff the
"('to', 'stay', 'here')",3,to stay here
"('hotel', 'itself', 'is')",3,hotel itself is
"('we', 'were', 'told')",3,we were told
"('location', 'was', 'perfect')",3,location was perfect
"('from', 'the', 'port')",3,from the port
"('on', 'a', 'main')",3,on a main
"('friendly', 'and', 'very')",3,friendly and very
"('out', 'to', 'be')",3,out to be
"('a', 'place', 'to')",3,a place to
"('would', 'stay', 'again')",3,would stay again
"('gym', 'and', 'spa')",3,gym and spa
"('parts', 'of', 'the')",3,parts of the
"('eat', 'at', 'the')",3,eat at the
"('their', 'way', 'to')",3,their way to
"('and', 'friendly', 'the')",3,and friendly the
"('of', 'their', 'way')",3,of their way
"('view', 'from', 'our')",3,view from our
"('on', 'the', 'roof')",3,on the roof
"('star', 'hotel', 'and')",3,star hotel and
"('and', 'a', 'lovely')",3,and a lovely
"('rooms', 'were', 'beautiful')",3,rooms were beautiful
"('hotel', 'was', 'amazing')",3,hotel was amazing
"('to', 'figure', 'out')",3,to figure out
"('table', 'in', 'the')",3,table in the
"('that', 'the', 'view')",3,that the view
"('the', 'view', 'was')",3,the view was
"('the', 'only', 'thing')",3,the only thing
"('all', 'in', 'all')",3,all in all
"('from', 'the', 'ferry')",3,from the ferry
"('breakfast', 'and', 'the')",3,breakfast and the
"('for', 'what', 'you')",3,for what you
"('the', 'night', 'and')",3,the night and
"('the', 'hotel', 'with')",3,the hotel with
"('hotel', 'was', 'the')",3,hotel was the
"('the', 'moment', 'we')",3,the moment we
"('and', 'were', 'very')",3,and were very
"('romeo', 'hotel', 'was')",3,romeo hotel was
"('stayed', 'here', 'for')",3,stayed here for
"('comfortable', 'and', 'well')",3,comfortable and well
"('of', 'this', 'hotel')",3,of this hotel
"('very', 'enjoyable', 'stay')",3,very enjoyable stay
"('a', 'high', 'standard')",3,a high standard
"('was', 'on', 'the')",3,was on the
"('this', 'hotel', 'and')",3,this hotel and
"('and', 'the', 'manager')",3,and the manager
"('we', 'had', 'an')",3,we had an
"('hotel', 'is', 'not')",3,hotel is not
"('in', 'naples', 'this')",3,in naples this
"('to', 'the', 'cruise')",3,to the cruise
"('a', 'one', 'night')",3,a one night
"('location', 'was', 'great')",3,location was great
"('staff', 'were', 'lovely')",3,staff were lovely
"('can', 't', 'say')",3,can t say
"('i', 've', 'stayed')",3,i ve stayed
"('at', 'the', 'reception')",3,at the reception
"('walk', 'around', 'the')",3,walk around the
"('staying', 'at', 'this')",3,staying at this
"('to', 'walk', 'around')",3,to walk around
"('and', 'the', 'restaurant')",3,and the restaurant
"('were', 'in', 'the')",3,were in the
"('would', 'like', 'to')",3,would like to
"('walk', 'from', 'the')",3,walk from the
"('taking', 'a', 'ferry')",3,taking a ferry
"('hotel', 'to', 'stay')",3,hotel to stay
"('all', 'over', 'the')",3,all over the
"('for', 'our', 'last')",3,for our last
"('us', 'to', 'our')",3,us to our
"('staff', 'are', 'friendly')",3,staff are friendly
"('this', 'hotel', 'the')",3,this hotel the
"('amalfi', 'coast', 'it')",3,amalfi coast it
"('we', 'were', 'greeted')",3,we were greeted
"('very', 'comfortable', 'the')",3,very comfortable the
"('the', 'fact', 'that')",3,the fact that
"('to', 'capri', 'and')",3,to capri and
"('we', 'had', 'during')",3,we had during
"('had', 'during', 'our')",3,had during our
"('with', 'a', 'wonderful')",3,with a wonderful
"('was', 'amazing', 'and')",3,was amazing and
"('a', 'room', 'with')",3,a room with
"('you', 'can', 't')",3,you can t
"('the', 'room', 'and')",3,the room and
"('but', 'you', 'can')",3,but you can
"('clean', 'and', 'well')",3,clean and well
"('rooms', 'were', 'very')",3,rooms were very
"('did', 'not', 'eat')",3,did not eat
"('clean', 'and', 'very')",3,clean and very
"('all', 'the', 'best')",3,all the best
"('look', 'forward', 'to')",3,look forward to
"('in', 'the', 'wellness')",3,in the wellness
"('with', 'a', 'nice')",3,with a nice
"('helpful', 'and', 'very')",3,helpful and very
"('i', 'can', 'not')",3,i can not
"('was', 'nice', 'and')",3,was nice and
"('staff', 'were', 'excellent')",3,staff were excellent
"('restaurant', 'and', 'the')",3,restaurant and the
"('old', 'city', 'and')",3,old city and
"('two', 'nights', 'at')",3,two nights at
"('we', 'would', 'stay')",3,we would stay
"('around', 'the', 'hotel')",3,around the hotel
"('t', 'wait', 'to')",3,t wait to
"('s', 'in', 'a')",3,s in a
"('desk', 'staff', 'were')",3,desk staff were
"('we', 'were', 'on')",3,we were on
"('to', 'the', 'old')",3,to the old
"('we', 'have', 'visited')",3,we have visited
"('this', 'was', 'the')",3,this was the
"('for', 'a', 'high')",3,for a high
"('were', 'very', 'nice')",3,were very nice
"('the', 'pool', 'on')",3,the pool on
"('room', 'was', 'clean')",3,room was clean
"('as', 'i', 'was')",3,as i was
"('rooftop', 'bar', 'and')",3,rooftop bar and
"('in', 'naples', 'is')",3,in naples is
"('the', 'reception', 'and')",3,the reception and
"('our', 'last', 'night')",3,our last night
"('staff', 'were', 'friendly')",3,staff were friendly
"('and', 'pool', 'and')",3,and pool and
"('it', 'was', 'my')",3,it was my
"('down', 'to', 'reception')",3,down to reception
"('star', 'hotel', 'in')",3,star hotel in
"('member', 'of', 'staff')",3,member of staff
"('and', 'the', 'bay')",3,and the bay
"('in', 'such', 'a')",3,in such a
"('you', 'need', 'to')",3,you need to
"('staying', 'in', 'naples')",3,staying in naples
"('to', 'ask', 'for')",3,to ask for
"('is', 'the', 'best')",3,is the best
"('fact', 'that', 'the')",3,fact that the
"('that', 'it', 'was')",3,that it was
"('where', 'you', 'can')",3,where you can
"('wonderful', 'view', 'of')",3,wonderful view of
"('but', 'that', 's')",3,but that s
"('a', 'wonderful', 'view')",3,a wonderful view
"('the', 'wait', 'staff')",3,the wait staff
"('they', 'didn', 't')",3,they didn t
"('the', 'train', 'station')",3,the train station
"('stay', 'at', 'romeo')",3,stay at romeo
"('to', 'the', 'hotel')",3,to the hotel
"('best', 'i', 've')",3,best i ve
"('port', 'of', 'naples')",3,port of naples
"('view', 'of', 'mount')",3,view of mount
"('hotel', 'is', 'beautiful')",3,hotel is beautiful
"('i', 'have', 'stayed')",3,i have stayed
"('was', 'nice', 'but')",3,was nice but
"('the', 'hotel', 'to')",3,the hotel to
"('stay', 'the', 'hotel')",3,stay the hotel
"('service', 'was', 'great')",3,service was great
"('our', 'stay', 'we')",3,our stay we
"('with', 'a', 'very')",3,with a very
"('the', 'rest', 'of')",3,the rest of
"('at', 'the', 'spa')",3,at the spa
"('is', 'very', 'modern')",3,is very modern
"('was', 'a', 'very')",3,was a very
"('very', 'modern', 'with')",3,very modern with
"('the', 'small', 'pool')",3,the small pool
"('for', 'the', 'view')",3,for the view
"('a', 'junior', 'suite')",3,a junior suite
"('it', 'was', 'just')",3,it was just
"('restaurant', 'il', 'comandante')",3,restaurant il comandante
"('a', 'good', 'option')",3,a good option
"('dinner', 'at', 'the')",3,dinner at the
"('walk', 'to', 'the')",3,walk to the
"('hotel', 'on', 'the')",3,hotel on the
"('for', '4', 'days')",3,for 4 days
"('to', 'the', 'islands')",3,to the islands
"('with', 'lots', 'of')",3,with lots of
"('room', 'was', 'a')",3,room was a
"('was', 'too', 'much')",3,was too much
"('vesuvius', 'and', 'the')",3,vesuvius and the
"('which', 'was', 'a')",3,which was a
"('view', 'over', 'the')",3,view over the
"('the', 'michelin', 'star')",3,the michelin star
"('to', 'get', 'our')",3,to get our
"('very', 'well', 'equipped')",3,very well equipped
"('with', 'all', 'the')",3,with all the
"('the', 'hotel', 'but')",3,the hotel but
"('were', 'so', 'pleased')",2,were so pleased
"('at', 'the', 'front')",2,at the front
"('a', 'lot', 'about')",2,a lot about
"('is', 'a', 'must')",2,is a must
"('was', 'very', 'modern')",2,was very modern
"('restaurant', 'is', 'a')",2,restaurant is a
"('was', 'the', 'highlight')",2,was the highlight
"('but', 'the', 'hotel')",2,but the hotel
"('didn', 't', 'care')",2,didn t care
"('not', '5', 'star')",2,not 5 star
"('we', 'can', 't')",2,we can t
"('issue', 'with', 'the')",2,issue with the
"('looking', 'for', 'a')",2,looking for a
"('luka', 'mario', 'danilo')",2,luka mario danilo
"('nothing', 'was', 'too')",2,nothing was too
"('my', 'only', 'complaint')",2,my only complaint
"('lives', 'up', 'to')",2,lives up to
"('the', 'hotel', 'are')",2,the hotel are
"('taxi', 'ride', 'to')",2,taxi ride to
"('to', 'help', 'us')",2,to help us
"('mario', 'danilo', 'daniella')",2,mario danilo daniella
"('it', 'as', 'a')",2,it as a
"('spa', 'was', 'a')",2,spa was a
"('can', 'get', 'a')",2,can get a
"('bonus', 'as', 'well')",2,bonus as well
"('in', 'romeo', 'hotel')",2,in romeo hotel
"('in', 'less', 'than')",2,in less than
"('of', 'the', 'public')",2,of the public
"('danilo', 'daniella', 'and')",2,danilo daniella and
"('at', 'the', 'time')",2,at the time
"('hotel', 'we', 'stayed')",2,hotel we stayed
"('went', 'out', 'of')",2,went out of
"('we', 'stayed', 'with')",2,we stayed with
"('lot', 'about', 'the')",2,lot about the
"('place', 'to', 'be')",2,place to be
"('bay', 'the', 'location')",2,bay the location
"('multiple', 'bars', 'rooftop')",2,multiple bars rooftop
"('to', 'see', 'if')",2,to see if
"('one', 'of', 'my')",2,one of my
"('breakfast', 'was', 'delicious')",2,breakfast was delicious
"('we', 'weren', 't')",2,we weren t
"('offers', 'multiple', 'bars')",2,offers multiple bars
"('of', 'the', 'water')",2,of the water
"('to', 'catch', 'a')",2,to catch a
"('for', 'us', 'and')",2,for us and
"('this', 'was', 'not')",2,this was not
"('with', 'view', 'of')",2,with view of
